timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1556035953849,19,List Products with different page,200,,Thread-Gruppe 1-9,text,true,,117742,898,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=5&page=5,19,0,0
1556035953807,63,Look at Product,200,,Thread-Gruppe 1-2,text,true,,102550,759,10,10,http://localhost:30080/tools.descartes.teastore.webui/product?id=218,63,0,0
1556035953841,32,List Products with different page,200,,Thread-Gruppe 1-7,text,true,,105918,896,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=6&page=4,31,0,0
1556035953839,38,List Products,200,,Thread-Gruppe 1-3,text,true,,100621,771,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=2&page=1,37,0,0
1556035953839,43,Login,200,,Thread-Gruppe 1-8,text,true,,10105,1021,10,10,http://localhost:30080/tools.descartes.teastore.webui/,34,0,0
1556035953839,34,Login-0,302,,Thread-Gruppe 1-8,,true,,756,275,10,10,http://localhost:30080/tools.descartes.teastore.webui/loginAction,34,0,0
1556035953873,9,Login-1,200,,Thread-Gruppe 1-8,text,true,,9349,746,10,10,http://localhost:30080/tools.descartes.teastore.webui/,9,0,0
1556035953862,25,List Products,200,,Thread-Gruppe 1-1,text,true,,97616,772,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=3&page=1,24,0,0
1556035953833,56,Look at Product,200,,Thread-Gruppe 1-10,text,true,,148211,758,10,10,http://localhost:30080/tools.descartes.teastore.webui/product?id=51,55,0,0
1556035953851,49,Add Product to Cart,200,,Thread-Gruppe 1-4,text,true,,30199,1740,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,4,0,0
1556035953851,4,Add Product to Cart-0,302,,Thread-Gruppe 1-4,,true,,886,864,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,4,0,0
1556035953855,45,Add Product to Cart-1,200,,Thread-Gruppe 1-4,text,true,,29313,876,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,45,0,0
1556035953869,35,List Products,200,,Thread-Gruppe 1-5,text,true,,100621,772,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=2&page=1,33,0,0
1556035953859,51,Look at Product,200,,Thread-Gruppe 1-6,text,true,,93165,758,10,10,http://localhost:30080/tools.descartes.teastore.webui/product?id=250,50,0,0
1556035953870,43,Add Product to Cart,200,,Thread-Gruppe 1-2,text,true,,28892,1739,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,5,0,0
1556035953870,5,Add Product to Cart-0,302,,Thread-Gruppe 1-2,,true,,885,864,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,5,0,0
1556035953875,38,Add Product to Cart-1,200,,Thread-Gruppe 1-2,text,true,,28007,875,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,38,0,0
1556035953882,34,List Products,200,,Thread-Gruppe 1-8,text,true,,142387,772,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=4&page=1,33,0,0
1556035953900,25,List Products with different page,200,,Thread-Gruppe 1-4,text,true,,116420,898,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=5&page=2,24,0,0
1556035953878,54,Look at Product,200,,Thread-Gruppe 1-3,text,true,,87344,759,10,10,http://localhost:30080/tools.descartes.teastore.webui/product?id=234,53,0,0
1556035953869,66,Add Product 2 to Cart,200,,Thread-Gruppe 1-9,text,true,,26077,1986,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,9,0,0
1556035953869,9,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-9,,true,,1005,991,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,9,0,0
1556035953878,57,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-9,text,true,,25072,995,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,56,0,0
1556035953889,48,Add Product to Cart,200,,Thread-Gruppe 1-10,text,true,,28688,1737,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,7,0,0
1556035953889,7,Add Product to Cart-0,302,,Thread-Gruppe 1-10,,true,,884,863,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,7,0,0
1556035953896,41,Add Product to Cart-1,200,,Thread-Gruppe 1-10,text,true,,27804,874,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,41,0,0
1556035953873,69,Add Product 2 to Cart,200,,Thread-Gruppe 1-7,text,true,,27693,1981,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,6,0,0
1556035953873,6,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-7,,true,,1002,989,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,6,0,0
1556035953879,63,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-7,text,true,,26691,992,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,63,0,0
1556035953914,30,List Products with different page,200,,Thread-Gruppe 1-2,text,true,,94807,897,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=2&page=2,30,0,0
1556035953887,70,Look at Product,200,,Thread-Gruppe 1-1,text,true,,94843,759,10,10,http://localhost:30080/tools.descartes.teastore.webui/product?id=13,69,0,0
1556035953935,23,Logout,200,,Thread-Gruppe 1-9,text,true,,10479,1828,10,10,http://localhost:30080/tools.descartes.teastore.webui/,4,0,0
1556035953935,4,Logout-0,302,,Thread-Gruppe 1-9,,true,,1344,1093,10,10,http://localhost:30080/tools.descartes.teastore.webui/loginAction,4,0,0
1556035953939,19,Logout-1,200,,Thread-Gruppe 1-9,text,true,,9135,735,10,10,http://localhost:30080/tools.descartes.teastore.webui/,19,0,0
1556035953943,15,Logout,200,,Thread-Gruppe 1-7,text,true,,10479,1825,10,10,http://localhost:30080/tools.descartes.teastore.webui/,2,0,0
1556035953943,2,Logout-0,302,,Thread-Gruppe 1-7,,true,,1344,1090,10,10,http://localhost:30080/tools.descartes.teastore.webui/loginAction,2,0,0
1556035953945,13,Logout-1,200,,Thread-Gruppe 1-7,text,true,,9135,735,10,10,http://localhost:30080/tools.descartes.teastore.webui/,13,0,0
1556035953904,67,Look at Product,200,,Thread-Gruppe 1-5,text,true,,89226,760,10,10,http://localhost:30080/tools.descartes.teastore.webui/product?id=222,66,0,0
1556035953958,13,Home,200,,Thread-Gruppe 1-7,text,true,,8822,147,10,10,http://localhost:30080/tools.descartes.teastore.webui/,13,0,0
1556035953926,50,Add Product 2 to Cart,200,,Thread-Gruppe 1-4,text,true,,30886,1985,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,7,0,0
1556035953926,7,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-4,,true,,1004,991,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,7,0,0
1556035953933,43,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-4,text,true,,29882,994,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,43,0,0
1556035953932,48,Add Product to Cart,200,,Thread-Gruppe 1-3,text,true,,25260,1739,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,8,0,0
1556035953932,8,Add Product to Cart-0,302,,Thread-Gruppe 1-3,,true,,885,864,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,8,0,0
1556035953940,40,Add Product to Cart-1,200,,Thread-Gruppe 1-3,text,true,,24375,875,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,39,0,0
1556035953910,71,Add Product to Cart,200,,Thread-Gruppe 1-6,text,true,,26021,1737,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,9,0,0
1556035953910,9,Add Product to Cart-0,302,,Thread-Gruppe 1-6,,true,,884,863,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,9,0,0
1556035953919,62,Add Product to Cart-1,200,,Thread-Gruppe 1-6,text,true,,25137,874,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,61,0,0
1556035953938,43,List Products with different page,200,,Thread-Gruppe 1-10,text,true,,145874,896,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=4&page=3,41,0,0
1556035953958,25,Home,200,,Thread-Gruppe 1-9,text,true,,8822,147,10,10,http://localhost:30080/tools.descartes.teastore.webui/,25,0,0
1556035953917,68,Look at Product,200,,Thread-Gruppe 1-8,text,true,,134781,759,10,10,http://localhost:30080/tools.descartes.teastore.webui/product?id=47,68,0,0
1556035953976,17,Logout,200,,Thread-Gruppe 1-4,text,true,,10479,1827,10,10,http://localhost:30080/tools.descartes.teastore.webui/,3,0,0
1556035953976,3,Logout-0,302,,Thread-Gruppe 1-4,,true,,1344,1092,10,10,http://localhost:30080/tools.descartes.teastore.webui/loginAction,3,0,0
1556035953979,14,Logout-1,200,,Thread-Gruppe 1-4,text,true,,9135,735,10,10,http://localhost:30080/tools.descartes.teastore.webui/,14,0,0
1556035953981,23,List Products with different page,200,,Thread-Gruppe 1-6,text,true,,98947,896,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=2&page=3,23,0,0
1556035953993,13,Home,200,,Thread-Gruppe 1-4,text,true,,8822,147,10,10,http://localhost:30080/tools.descartes.teastore.webui/,13,0,1
1556035953980,28,List Products with different page,200,,Thread-Gruppe 1-3,text,true,,96584,897,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=2&page=4,27,0,0
1556035953971,41,Login,200,,Thread-Gruppe 1-7,text,true,,10105,1021,10,10,http://localhost:30080/tools.descartes.teastore.webui/,26,0,0
1556035953971,26,Login-0,302,,Thread-Gruppe 1-7,,true,,756,275,10,10,http://localhost:30080/tools.descartes.teastore.webui/loginAction,26,0,0
1556035953997,15,Login-1,200,,Thread-Gruppe 1-7,text,true,,9349,746,10,10,http://localhost:30080/tools.descartes.teastore.webui/,15,0,0
1556035953957,71,Add Product to Cart,200,,Thread-Gruppe 1-1,text,true,,26996,1739,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,6,0,0
1556035953957,6,Add Product to Cart-0,302,,Thread-Gruppe 1-1,,true,,885,864,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,6,0,0
1556035953963,65,Add Product to Cart-1,200,,Thread-Gruppe 1-1,text,true,,26111,875,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,65,0,0
1556035953971,58,Add Product to Cart,200,,Thread-Gruppe 1-5,text,true,,25199,1740,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,7,0,0
1556035953971,7,Add Product to Cart-0,302,,Thread-Gruppe 1-5,,true,,885,865,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,7,0,0
1556035953978,51,Add Product to Cart-1,200,,Thread-Gruppe 1-5,text,true,,24314,875,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,51,0,0
1556035953983,48,Login,200,,Thread-Gruppe 1-9,text,true,,10103,1019,10,10,http://localhost:30080/tools.descartes.teastore.webui/,34,0,0
1556035953983,34,Login-0,302,,Thread-Gruppe 1-9,,true,,754,275,10,10,http://localhost:30080/tools.descartes.teastore.webui/loginAction,34,0,0
1556035954017,14,Login-1,200,,Thread-Gruppe 1-9,text,true,,9349,744,10,10,http://localhost:30080/tools.descartes.teastore.webui/,14,0,0
1556035954006,30,Login,200,,Thread-Gruppe 1-4,text,true,,10104,1020,10,10,http://localhost:30080/tools.descartes.teastore.webui/,20,0,0
1556035954006,20,Login-0,302,,Thread-Gruppe 1-4,,true,,755,275,10,10,http://localhost:30080/tools.descartes.teastore.webui/loginAction,20,0,0
1556035954026,10,Login-1,200,,Thread-Gruppe 1-4,text,true,,9349,745,10,10,http://localhost:30080/tools.descartes.teastore.webui/,10,0,0
1556035953945,94,Add Product 2 to Cart,200,,Thread-Gruppe 1-2,text,true,,29593,1983,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,19,0,0
1556035953945,19,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-2,,true,,1003,990,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,19,0,0
1556035953964,75,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-2,text,true,,28590,993,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,75,0,0
1556035954012,31,List Products,200,,Thread-Gruppe 1-7,text,true,,97616,772,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=3&page=1,30,0,0
1556035953986,61,Add Product to Cart,200,,Thread-Gruppe 1-8,text,true,,24802,1739,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,7,0,0
1556035953986,7,Add Product to Cart-0,302,,Thread-Gruppe 1-8,,true,,885,864,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,7,0,0
1556035953993,54,Add Product to Cart-1,200,,Thread-Gruppe 1-8,text,true,,23917,875,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,54,0,0
1556035954039,9,Logout,200,,Thread-Gruppe 1-2,text,true,,10479,1826,10,10,http://localhost:30080/tools.descartes.teastore.webui/,3,0,0
1556035954039,3,Logout-0,302,,Thread-Gruppe 1-2,,true,,1344,1091,10,10,http://localhost:30080/tools.descartes.teastore.webui/loginAction,3,0,0
1556035954042,6,Logout-1,200,,Thread-Gruppe 1-2,text,true,,9135,735,10,10,http://localhost:30080/tools.descartes.teastore.webui/,6,0,0
1556035953982,71,Add Product 2 to Cart,200,,Thread-Gruppe 1-10,text,true,,29385,1982,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,8,0,0
1556035953982,8,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-10,,true,,1003,989,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,8,0,0
